(ompn) nightless@nightless-computer:~/Desktop/ompn$ ./tune_task_compile.sh 
Running study for task: wsws_static_symbolic
No study file found. Starting a new study.
[I 2025-05-23 20:40:20,746] A new study created in memory with name: no-name-3485e4fb-dea6-4972-9fe7-44e1a7e07d53
Task: wsws_static_symbolic
State size: 1087
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-23 20:44:09,558] Trial 0 finished with value: 0.37148 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 0 with value: 0.37148.
[I 2025-05-24 05:34:10,322] Trial 80 finished with value: 0.95138 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:36:27,129] Trial 81 finished with value: 0.77044 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:38:44,048] Trial 82 finished with value: 0.7910400000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:41:00,789] Trial 83 finished with value: 0.8071 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:43:17,538] Trial 84 finished with value: 0.6498 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:45:34,271] Trial 85 finished with value: 0.56432 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:46:16,046] Trial 86 finished with value: 0.47572000000000003 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:48:32,988] Trial 87 finished with value: 0.56504 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:53:39,531] Trial 88 finished with value: 0.37234 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:55:56,164] Trial 89 finished with value: 0.6489200000000002 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 05:58:12,914] Trial 90 finished with value: 0.28696 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:00:29,795] Trial 91 finished with value: 0.91808 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:02:46,706] Trial 92 finished with value: 0.66766 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:05:03,710] Trial 93 finished with value: 0.47418 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:07:20,708] Trial 94 finished with value: 0.86384 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:09:37,716] Trial 95 finished with value: 0.60506 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:11:54,625] Trial 96 finished with value: 0.7107 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:14:11,863] Trial 97 finished with value: 0.39292000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:16:28,771] Trial 98 finished with value: 0.79478 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:18:45,648] Trial 99 finished with value: 0.5592400000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:19:27,344] Trial 100 finished with value: 0.52306 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:21:44,163] Trial 101 finished with value: 0.8679 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:24:01,133] Trial 102 finished with value: 0.87958 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:26:17,993] Trial 103 finished with value: 0.5142000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:28:34,871] Trial 104 finished with value: 0.81488 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:30:51,906] Trial 105 finished with value: 0.46846000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:33:09,110] Trial 106 finished with value: 0.39796 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.1, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:38:23,966] Trial 107 finished with value: 0.6449 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:40:40,879] Trial 108 finished with value: 0.3639 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:42:57,621] Trial 109 finished with value: 0.73488 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:45:14,685] Trial 110 finished with value: 0.29354 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:47:31,562] Trial 111 finished with value: 0.52824 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:49:48,429] Trial 112 finished with value: 0.8599800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:52:05,369] Trial 113 finished with value: 0.7699 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:54:22,124] Trial 114 finished with value: 0.92022 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:56:39,037] Trial 115 finished with value: 0.5862800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 06:58:35,524] Trial 116 finished with value: 0.41490000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:00:52,285] Trial 117 finished with value: 0.8711200000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:03:09,531] Trial 118 finished with value: 0.38024 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:05:26,135] Trial 119 finished with value: 0.47654 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:07:43,334] Trial 120 finished with value: 0.5679200000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:09:39,586] Trial 121 finished with value: 0.81 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:11:56,460] Trial 122 finished with value: 0.88944 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:14:13,338] Trial 123 finished with value: 0.89348 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:16:30,155] Trial 124 finished with value: 0.8475 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:18:47,111] Trial 125 finished with value: 0.79428 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:19:28,857] Trial 126 finished with value: 0.44272000000000006 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:21:45,732] Trial 127 finished with value: 0.8555200000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:27:01,786] Trial 128 finished with value: 0.46746000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:29:19,486] Trial 129 finished with value: 0.36572000000000005 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.1, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:31:36,377] Trial 130 finished with value: 0.72302 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:33:53,244] Trial 131 finished with value: 0.84316 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:36:10,156] Trial 132 finished with value: 0.8388800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:38:27,121] Trial 133 finished with value: 0.82604 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:40:44,095] Trial 134 finished with value: 0.72184 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:43:00,960] Trial 135 finished with value: 0.73566 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:45:18,166] Trial 136 finished with value: 0.28754 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:47:35,210] Trial 137 finished with value: 0.44868 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:49:51,994] Trial 138 finished with value: 0.5318 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:52:09,229] Trial 139 finished with value: 0.39246000000000003 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:54:25,913] Trial 140 finished with value: 0.81454 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:56:42,710] Trial 141 finished with value: 0.83802 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 80 with value: 0.95138.
[I 2025-05-24 07:58:59,704] Trial 142 finished with value: 0.97928 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:01:16,693] Trial 143 finished with value: 0.81258 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:03:33,531] Trial 144 finished with value: 0.89992 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:05:49,825] Trial 145 finished with value: 0.38448 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:08:06,676] Trial 146 finished with value: 0.64714 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:10:23,950] Trial 147 finished with value: 0.41492000000000007 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:12:40,883] Trial 148 finished with value: 0.7591600000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 142 with value: 0.97928.
[I 2025-05-24 08:13:22,733] Trial 149 finished with value: 0.46488000000000007 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 142 with value: 0.97928.
Study for task wsws_static_symbolic completed.
Running study for task: wsws_static_symbolic_big
No study file found. Starting a new study.
[I 2025-05-24 08:13:23,617] A new study created in memory with name: no-name-61712454-3fa4-4f8d-b4fa-127903ac323c
Task: wsws_static_symbolic_big
State size: 1087
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-24 08:14:49,533] Trial 0 finished with value: 0.81752 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 08:18:41,122] Trial 1 finished with value: 0.2844 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 08:20:04,205] Trial 2 finished with value: 0.30182 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 08:21:29,916] Trial 3 finished with value: 0.28162 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 09:05:10,075] Trial 4 finished with value: 0.5524 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 09:12:51,434] Trial 5 finished with value: 0.32618 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 09:20:20,327] Trial 6 finished with value: 0.29294 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 0 with value: 0.81752.
[I 2025-05-24 11:11:56,521] Trial 7 finished with value: 0.40092 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 0 with value: 0.81752.
^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A[I 2025-05-24 11:22:35,236] Trial 8 finished with value: 0.8572 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 8 with value: 0.8572.
[I 2025-05-24 11:30:01,582] Trial 9 finished with value: 0.36334 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 8 with value: 0.8572.
[I 2025-05-24 11:41:05,130] Trial 10 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 11:51:40,585] Trial 11 finished with value: 0.98644 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 12:01:49,700] Trial 12 finished with value: 0.66838 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 12:11:55,021] Trial 13 finished with value: 0.54598 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 12:22:03,425] Trial 14 finished with value: 0.5068 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 12:28:15,490] Trial 15 finished with value: 0.96128 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 13:22:52,808] Trial 16 finished with value: 0.36856 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
